GOVT.PRIMARY SCHOOL PARSABAHRI,,BUDAR,22012005509,,
GOVT.MIDDILE SCHOOL BARTARIHAPARA,,BUDAR,22012005511,,
GOVT.PRIMARY SCHOOL ASHRAM SHALA BUDAR,,BUDAR,22012005513,,
GOVT GIRLS HIGHER SECONDARY  SCHOOL BUDAR,,BUDAR,22012005514,,
GOVT.PRIMARY SCHOOL GIRL KORIYA COLORY,,KORIYA COLORY,22012005606,,
GOVT. MIDDLE SCHOOL. KORIYA COLORY,,KORIYA COLORY,22012005607,,
GOVT. HIGHER SECONDARY SCHOOL KORIYA COLLERY,,KORIYA COLORY,22012005608,,
GOVT.PRIMARY SCHOOL BOY PATNA,,PATNA,22012005702,,
GOVT.PRIMARY SCHOOL GIRL PATNA,,PATNA,22012005703,,
GOVT.PRIMARY SCHOOL NAVAPARA,,PATNA,22012005704,,
GOVT.PRIMARY SCHOOL CHITMARPARA,,PATNA,22012005705,,
GOVT.PRIMARY SCHOOL JUNAPARA,,PATNA,22012005706,,
GOVT. MIDDLE SCHOOL BOYS PATNA,,PATNA,22012005709,,
GOVT.GIRLS MIDDLE  SCHOOL PATNA,,PATNA,22012005710,,
GOVT.MIDDILE SCHOOL BOY PATNA,,PATNA,22012005714,,
GOVT. BOYS HIGHER SECONDARY SCHOOL PATNA,,PATNA,22012005715,,
GOVT. GIRLS HIGHER SECONDARY SCHOOL PATNA,,PATNA,22012005716,,
GOVT.PRIMARY SCHOOL KHURASIYA,,KHURSIYA,22012005802,,
GOVT.PRIMARY SCHOOL AMADAFAI,,KHURSIYA,22012005803,,
GOVT.MIDDILE SCHOOL KHURSIYA,,KHURSIYA,22012005804,,
GOVT.PRIMARY SCHOOL NAVAPARA,,NAVAPARA,22012005901,,
GOVT.MIDDILE SCHOOL NAVAPARA,,NAVAPARA,22012005902,,
GOVT.PRIMARY SCHOOL GIRL CHITTAJHORPODI,,CHIRMIRICHITTAGHOR,22012006002,,
GOVT.PRIMARY SCHOOL BOY CHITAJHORPODI,,CHIRMIRICHITTAGHOR,22012006004,,
GOVT.PRIMARY SCHOOL CHAMPAJHAR,,CHAMPAGHAR,22012006201,,
GOVT.PRIMARY SCHOOL PAKARIJHARIYA,,CHAMPAGHAR,22012006202,,
GOVT.PRIMARY SCHOOL SATHARPARA,,CHAMPAGHAR,22012006203,,
GOVT.MIDDILE SCHOOL CHAMPAJHAR,,CHAMPAGHAR,22012006204,,
GOVT.PRIMARY SCHOOL KATORA,,KATORA,22012006301,,
GOVT.MIDDILE SCHOOL KATORA,,KATORA,22012006302,,
GOVT.PRIMARY SCHOOL KARJI,,KARJI,22012006401,,
GOVT.PRIMARY SCHOOL KHALPARA,,KARJI,22012006402,,
GOVT.PRIMARY SCHOOL PIPARDAND,,PIPARDAND,22012006501,,
GOVT.PRIMARY SCHOOL NAVAPARA,,PIPARDAND,22012006502,,
GOVT.MIDDILE SCHOOL PIPARDAND,,PIPARDAND,22012006503,,
GOVT.PRIMARY SCHOOL SAWANRAWAN,,SAVARAVA,22012006601,,
GOVT.PRIMARY SCHOOL SAVARAVA (PATELPARA),,SAVARAVA,22012006602,,
GOVT MIDDLE SCHOOL SAVARAVA,,SAVARAVA,22012006603,,
GOVT HIGH SCHOOL SAVARAVA,,SAVARAVA,22012006605,,
GOVT.PRIMARY SCHOOL GIRJAPUR,,GIRAJAPUR,22012006701,,
GOVT.PRIMARY SCHOOL PATRAPARA,,GIRAJAPUR,22012006702,,
GOVT.MIDDILE SCHOOL GIRJAPUR,,GIRAJAPUR,22012006703,,
GOVT.PRIMARY SCHOOL KHAIRI,,KHORI,22012006801,,
GOVT.PRIMARY SCHOOL KARHIPARA,,CHHINIDAYA,22012006901,,
GOVT.PRIMARY SCHOOL BOY CHHINDIYA,,CHHINIDAYA,22012006902,,
GOVT.MIDDILE SCHOOL CHHINDIYA,,CHHINIDAYA,22012006904,,
GOVT.PRIMARY SCHOOL NAKTAPARA,,CHHINIDAYA,22012006905,,
GOVT.MIDDILE SCHOOL KARHIPARA,,CHHINIDAYA,22012006907,,
GOVT.PRIMARY SCHOOL KOCHILA,,KOCHILA,22012007001,,
GOVT.PRIMARY SCHOOL CHIRGUDA,,CHIRGUDA,22012007101,,
GOVT.MIDDILE SCHOOL CHIRGUDA,,CHIRGUDA,22012007102,,
GOVT.PRIMARY SCHOOL AMAHAR,,AMAHAR,22012007201,,
GOVT.PRIMARY SCHOOL SARNAPARA,,AMAHAR,22012007202,,
GOVT.MIDDILE SCHOOL AMHAR,,AMAHAR,22012007203,,
GOVT.PRIMARY SCHOOL KATKONA,,KATKONA,22012007301,,
GOVT.PRIMARY SCHOOL KHADIPARA,,KATKONA,22012007303,,
GOVT.MIDDILE SCHOOL KATKONA,,KATKONA,22012007304,,
GOVT. HIGH SCHOOL KATKONA,,KATKONA,22012007311,,
GOVT.PRIMARY SCHOOL BARDIYA,,BARDIYA,22012007401,,
GOVT.MIDDILE SCHOOL BARDIYA,,BARDIYA,22012007402,,
